id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
1623,standardize,standardize,estandardizar,normalizar;unificar;padronizar,standardisere,udarbejde ensartede måleenheder og metoder,standardisieren,standardisieren,estandarizar,comparar con un estándar;establecer patrones o estándares,normaliser,normaliserstandardiser,standardizzare,rendere standard;normale;consueto,standaardiseren,tot een éénheid brengen
1624,stasis,keeping in check,estase,estancamento do sangue ou de qualquer outro líquido orgânico,stasis,stagnation,Stase,Stillstand eines Flüssigkeitsstromes,estasis,estancamiento de sangre u otro líquido en una parte del organismo;estado de equilibrio entre fuerzas opuestas,stase,lenteur ou arrêt de la circulation sanguine,stasi,mantenimento ad uno stesso livello,stase,stilstand
1625,statistical,statistical,estatístico,estatístico,statistisk,statistisk,statistisch,statistisch,estadístico,estadístico,statistique,statistique,statistico,statistico,statistisch,cijfermatig berekend
1626,status,status,estado,condição;situação;crise ou ponto culminante,status,status,Status,Zustand,estado,condición;situación;crisis o punto culminante,état,état,status,condizione,status,stand
1627,steady state,steady state,estado de equilíbrio,situação em que uma variável se mantém imutável,stabilitetstilstand,vendepunkt,steady state,Fleißgleichgewicht,estado  de equilibrio,situación en que una variable no cambia,équilibre  cinétique,,omeostasi,equilibrio dinamico,steady state,evenwicht tussen inspanning en zuurstofgebruik
1628,steatorrhoea,excess fat in the motions,esteatorreia,excesso de gordura nas fezes;estearreia;seborreia,steatorrhoea,fedtdiaré;forøget fedtindhold i afføringen,Steatorrhoe,Fettdurchfall,esteatorrea,cantidad excesiva de grasas en las heces,stéatorrhée,présence excessive de matières grasses dans les selles,steatorrea,vedi seborrea,steatorroe,vetontlasting in grote hoeveelheid
1629,steatosis,fatty degeneration,esteatose,acumulação excessiva de glóbulos gordos nos tecidos,steatosis,fedtaflejring,Steatose,Verfettung,esteatosis,acumulación excesiva de glóbulos grasos en los tejidos,stéatose,surcharge en lipides des cellules,steatosi,degenerazione grassa,steatose,vervetting
1630,stenosis,duct narrowing,estenose,estreitamento de um conduto;aperto;constrição,stenose,forsnævring af kanal,Stenose,Einengung eines Kanals,estenosis,estrechamiento de un conducto,sténose,rétrécissement,stenosi,restringimento di un canale o condotto,stenose,vernauwing
1631,sterility,sterility,esterilidade,incapacidade de fecundar ou conceber,sterilitet,sterilitet,Sterilität,Sterilität,esterilidad,incapacidad para fecundar o concebir;estado de asepsia,stérilité,stérilité,sterilità,sterilità,steriliteit,onvruchtbaarheid
1632,sterilization,sterilization,esterilização,procedimento que torna um indivíduo incapaz de reproduzir,sterilisering,sterilisering,Sterilisation,Sterilisation,esterilización,procedimiento que hace incapaz a un individuo para reproducción;eliminación completa de microorganismos,sterilizzazione,creazione di uno stato sterilesterilizzazione,sterilisatie,het doden van ziektekiemen
1633,steroid,steriod,esteróide,tipo de composto químico,steroid,fællesbetegnelse for forskellige stoffer med bestemt kemisk opbygning,Steroide,in der Nebenniere produziertes Hormon,esteroide,tipo de compuesto químico,stéroïde,ayant la structure d'un stérol,steroideo,steroide,steroïd,verbinding afgeleid van koolwaterstof
1634,stimulant,stimulant,estimulante,excitante,stimulans,stimulerende middel,Stimulans,anregendes Heilmittel,estimulante,agente que produce estimulación,stimulant,qui stimule,stimolante,stimolante,stimulans,opwekkend middel
1635,stomatitis,mouth inflammation,estomatite,inflamação da mucosa da boca,stomatitis,betændelse af slimhinden i munden,Stomatitis,Entzündung der Mundschleimhaut,estomatitis,inflamación de la mucosa oral,stomatite,inflammation de la bouche,stomatite,infiammazione della cavità orale,stomatitis,ontsteking van het mondslijmvlies
1636,stomatological,involving the study of mouth inflammation,estomatológico,parte da medicina que estuda a boca e suas doenças,stomatologisk,om mundsygdomme,stomatologisch,die Erkrankungen der Mundschleimhaut betreffend,estomatológico,perteneciente o relativo a la rama de la medicina que se ocupa de la boca y sus enfermedades,stomatologique,relatif à l'étude des maladies de la bouche et des dents,stomatologico,relativo alla bocca,stomatologisch,met betrekking tot de mondholte
1637,strabismus,squint,estrabismo,desvio de um olho da sua direcção normal,strabismus,skelen,Strabismus,Schielen,estrabismo,desviación de un ojo de su dirección normal,strabisme,strabisme,strabismo,deviazioni incontrollabili degli occhi,strabismus,scheelzien
1638,stress,stress,stress,tensão;vida [moderna] agitada,stress,stress;overskridelse af tilpasningsreaktion gennem langvarige eller stærke legemlige eller psykiske påvirkninger,Streß,Streß,estrés,estrés,stress,stress,stress,stress,stress,spanning
1639,stria,stretch marks,estria,lista;raia;fibras nervosas cerebrais,stria,stribe,Stria,Streifen,estría,raya;línea;surco fino;fibras nerviosas cerebrales,strie,ligne,stria,smagliatura cutanea,stria,huidstriem
1640,structural,structural,estrutural,estrutural,strukturel,strukturel,strukturell,strukturell,estructural,estructural,structural,structural,strutturale,relativo alla struttura,structureel,met betrekking tot de opbouw van een geheel
1641,struma,thyroid enlargement,estruma,escrófula;bócio;engrossamento dos tiróides,struma,forstørrelse af skjoldbruskkirtlen,Struma,Kropf,estruma,bocio;engrosamiento del tiroides,struma,goitre,struma,gozzo,struma,krop
1642,stupor,stupor,estupor,perda parcial ou quase total da consciência;obnubilação;torpor,stupor,feberdøs,Stupor,Bewegungslosigkeit,estupor,pérdida parcial o casi completa de la conciencia,stupeur,léthargie,stupore,stupore,stupor,verminderd bewustzijn
1643,subacute,somewhat acute,subagudo,pouco agudo,subakut,moderat heftigt,subakut,weniger heftig verlaufend,subagudo,un poco agudo,subaigu,mi-chronique;mi-aigu,subacuto,un po' acuto;tra l'acuto ed il cronicosubacuto,subacuut,van betrekkelijk korte duur
1644,subarachnoid,in the brain,subaracnóide,situado ou produzido por baixo da aracnóide,subaraknoidal,i det væskefyldte hulrum mellem den inderste og den mellemste hjernehinde,subarachnoidal,unter der Spinnwebenhaut,subaracnoideo,que está situado o que se produce debajo de la aracnoides,sous-arachnoïdien,situé entre l'arachnoïde et la pie-mère,subaracnoideo,situato tra il cervello ed il midollo spinale,subarachnoïdaal,onder het spinnewebvlies gelegen
1645,subcapsular,below a tough outer covering,subcapsular,situado por baixo de uma cápsula,TU,under en kapsel,subkapsulär,unter einer Kapsel gelegen,subcapsular,que está situado o que ocurre debajo de una cápsula,sous-capsulaire,sous une capsule,sottocapsulare,situato sotto una capsula,subcapsulair,onder een kapsel
1646,subclinical,mild,subclínico,que acontece sem manifestação de sintomas,subklinisk,om tidlige stadium i sygdom før der kommer synlige tegn,subklinisch,mit nur geringen klinischen Krankheitszeichen,subclínico,que transcurre sin manifestar síntomas,subclinique,dont les manifestations cliniques sont très atténuées,subclinico,senza manifestazioni cliniche;senza sintomi,subklinisch,nog niet waarneembaar
1647,subconjunctival,under the white of the eye covering,subconjuntival,subconjuntival,subconjunctival,under øjets bindehinde,subkonjunktival,unter der Bindehaut des Auges,subconjuntival,que está situado o que ocurre debajo de la conjuntiva,sous-conjonctival,sous la conjonctive,sottocongiuntivale,situato sotto la congiuntiva,subconjunctivaal,onder het oogbindvlies
1648,subcutaneous,below the skin,subcutâneo,sob a pele;hipodérmico,subkutan,under huden,subkutan,unter der  die Haut,subcutáneo,que está situado o que sucede por debajo de la piel,sous-cutané,sous la peau,sottocutaneo,situato sotto la pelle,subcutaan,onderhuids
1649,subjective,subjective,subjectivo,subjectivo;reacção específica;pessoal,subjektiv,personlig;beroende på persons særegne tanke eller forestillingsmåde,subjektiv,subjektiv,subjetivo,subjetivo,subjectif,que seul le malade perçoit,soggettivo,soggettivo,subjectief,persoonlijk
1650,sublingual,under the tongue,sublingual,por baixo da língua;hipoglosso,sublingual,under tungen,sublingual,unter der Zunge,sublingual,referido o situado debajo de la lengua,sublingual,sous la langue,sublinguale,situato sotto la lingua,sublinguaal,onder de tong
1651,substance,substance,substância,matéria,substans,materiale;legemligt eller organisk,Substanz,Substanz,sustancia,sustancia,substance,substance,sostanza,sostanza,substantie,stof
1652,substitution,substitution,substituição,substituição;troca,substitution,erstatning,Substitution,Ersatz,sustitución,sustitución,substitution,substitution,sostituzione,sostituzione,substitutie,vervanging
1653,substrate,substance on which an enzyme acts,substrato,base;substância básica,substrat,næringsmiddel til dyrkning af bakterier,Substrat,Grundsubstanz,sustrato,base;sustancia básica,substrat,substrat,substrato,sottostrato,substraat,stof waarop een giststof inwerkt
1654,superinfection,secondary infection,superinfecção,nova infecção que surge como complicação de outra já existente,superinfektion,fornyet smitte med samme mikrobe hos samme person,Superinfektion,erneute Infektion mit demselben Erreger,superinfección,nueva infección que ocurre como complicación de otra ya existente,surinfection,infection ajoutée,superinfezione,superinfezione,superinfectie,bijkomende besmetting
1655,supervision,supervision,supervisão,vigilância;inspecção;controlo,overvågning,overvågning,Supervision,überwachung,supervisión,supervisión,supervision,supervision,supervisione,valutazione critica,supervisie,toezicht
1656,supine,laying down,supino,deitado de costas,supination,udadroterende bevægelse af hånd og arm,Supination,Auswärtsdrehung der Hand bzw. des Fußes,supino,que descansa sobre el dorso,supination,mouvement de rotation,supino,essere steso,supine,supine
1657,supplement,supplement,suplemento,suplemento;adicional,supplement,tilskud,Supplement,Ergänzung,suplemento,suplemento,supplément,supplément,supplemento,supplemento,supplement,bijvoeging
1658,suppository,suppository,supositório,supositório,suppositorium,stikpille,Suppositorium,Zäpfchen,supositorio,supositorio,suppositoire,suppositoire,suppositorio,suppositorio,suppositorium,zetpil
1659,suppressive,suppressing,supressivo,supressivo,undertrykkende,undertrykkende,suppressiv,unterdrückend,,,suppresseur,dont la mutation peut supprimer les effets de mutations d'autres gènes,soppressiva,soppressiva,suppressief,onderdrukkend
1660,suppuration,discharging pus,supuração,formação de pus,suppuratio,åben pusfyldt betændelse,Suppuratio,Eiterung,supuración,formación de pus,suppuration,formation de pus,suppurazione,infiammazione con pus,suppuratie,ettering
1661,supraventricular,above the heart chambers,supraventricular,por cima de uma pequena cavidade,supraventriculær,over hjertekamrene,supraventrikulär,über einem Ventrikel,supraventricular,por encima o en la parte superior de una pequeña cavidad,supraventriculaire,relatif à une région du coeur située au-dessus des ventricules,sopraventricolare,situato sopra il ventricolo,supraventriculair,boven de hartkamers
1662,surdity,deafness,surdez,surdez,surditas,døvhed,Surditas,Taubheit,sordera,sordera,surdité,surdité,sordità,sordità,surditas,doofheid
1663,surgical,surgical,cirúrgico,cirúrgico;relativo a uma operação,kirurgisk,kirurgisk,chirurgisch,chirurgisch,quirúrgico,quirúrgico,chirurgical,chirurgical,chirurgico,chirurgico,chirurgisch,heelkundig
1664,suspension,suspension,suspensão,partículas existentes na água que não foram por ela dissolvidas,suspensio,ophængning,Suspension,1.Aufschwemmen von feinen festen Teilchen in einer Flüs-,suspensión,preparado finamente dividido para incorporarlo en un líquido o que ya se encuentra incorporado en un líquido,suspension,suspension,sospensione,sospensione,suspensie,vloeistof met onoplosbare deeltjes
1665,sympathetic,sympathetic,complacente,que se compadece com os males ou desventuras de outrem;simpático,sympatisk,sympatisk,sympathetisch,1.auf Sympathie beruhend 2. das sympathische Nervensy,simpático,simpático,sympathique,relatif au système nerveux autonome,simpatico,nervo simpatico,sympathisch,medegevoelig
1666,sympathomimetic,substance to simulate sympathetic nervious system,simpaticomimético,substância que estimula o sistema nervoso simpático,sympathomimetisksympathomimetika,som har virkning på det sympatiske nervesystem,Sympathomimetikum,Arzneimittel;das die gleichen Wirkungen hervorruft;wie,simpaticomimético,sustancia que estimula el sistema nervioso simpático,sympathomimétique,qui a des effets similaires à ceux que l'on obtient en stimulant le système nerveux sympathique,simpatico-mimetico,che produce effetti simili ai nervi simpatici,sympathicomimeticum,middel met opwekkende werking
1667,symptom,symptom,sintoma,sinal,symptom,symptom,Symptom,Symptom,síntoma,signo,symptôme,symptôme,sintomo,sintomo,symptoom,ziekteverschijnsel
1668,symptomatic,symptomatic,sintomático,pertencente aos sintomas,symptomatisk,symptomgivende,symptomatisch,symptomatisch,sintomático,perteneciente a los síntomas,symptomatique,1) relatif aux symptômes - 2) visant à supprimer les symptômes - 3) dû à un symptôme particulier,sintomatico,che indica determinati sintomi,symptomatisch,met betrekking tot ziekteverschijnselen
1669,symptomatology,study of symptoms,sintomatologia,sintomas combinados de uma doença,symptomatologi,læren om sygdomstegnene,Symptomatologie,1.Lehre von den Krankheitszeichen 2. die Symptomatik,sintomatología,síntomas combinadas de una enfermedad,symptomatologie,étude des symptômes,semeiotica,ramo della medicina che studia i sintomi,symptomatologie,leer van de ziekteverschijnselen
1670,synaptic,synaptic,sináptico,relativo à zona de contacto entre dois neuronas,synaptisk,angående overgangsstedet mellem to nervecellers udløbereangående stadie i kønscellernes udvikling kort før reduktionsdeling,synaptisch,eine Kontaktstelle zw. Nervenzellen betreffend,sináptico,que pertenece o afecta a la zona de contacto entre dos neuronas,synaptique,relatif à l'aire de jonction entre deux neurones,sinaptico,relativo alla sinassi,synaptisch,met betrekking tot onderling contact tussen zenuwcellen
1671,syncope,fainting,síncope,perda súbita da consciência por descida da pressão sanguínea no cérebro;desmaio,synkope,besvimelsesanfald,Synkope,anfallsartige;kurzdauernde Bewußtlosigkeit,síncope,desmayo;desvanecimiento,syncope,syncope,sincope,sospensione temporanea della coscienza,syncope,plotseling bewustzijnsverlies
1672,syndrome,syndrome,síndroma,complexo mórbido;conjunto de sintomas,syndrom,symptomkompleks,Syndrom,Krankheitsbild,síndrome,conjunto de síntomas,syndrome,syndrome,sindrome,sindrome,syndroom,ziektebeeld
1673,synergistic,combined,sinergético,que age simultaneamente com outra coisa,synergistisk,virkende sammen,synergistisch,einen Stoff;der durch seine Gegenwart die Wirkasamkeit,sinergético,que trabaja simultáneamente con otra cosa,synergique,relatif à la synergie,sinergista,che interagiscono assieme,synergistisch,samenwerkend
1674,synovial,secreting a clear sticky lubrication in a joint,sinovial,relativo ao líquido secretado pela membrana sinovial ou que o secreta,synovial,angående ledvæsken,synovial,die Gelenkinnenhaut betreffend,sinovial,perteneciente o relativo al líquido secretado por la membrana sinovial o que lo secreta,synovial,relatif au liquide humectant les articulations,sinoviale,relativo al liquido contenuto nelle articolazioni,synoviaal,met betrekking tot de slijmvliesbekleding
1675,synovitis,inflammation of a joint-lubricating membrane,sinovite,inflamação de uma membrana sinovial,synovitis,ledhindebetændelse,Synovialitis,Entzündung der Gelenkinnenhaut,sinovitis,inflamación de una membrana sinovial,synovite,inflammation d'une synoviale,sinovite,infiammazione della membrana col liquido articolare,synovitis,gewrichtsvliesontsteking
1676,synthesis,synthesis,síntese,combinação;formação de substâncias in vitro por meios artificiais,syntese,opbygning,Synthese,Synthese,síntesis,combinación;formación de sustancias in vitro por medios artificiales,synthèse,synthèse,sintesi,integrazione di vari elementi,synthese,samenstelling
1677,systematic,systematic,sistemático,que segue um sistema;um método,systematisk,systematisk,systematisch,systematisch,sistemático,que sigue un sistema,systématique,systématique,sistematico,relativo ad un sistema,systematisch,stelselmatig
1678,systemic,whole body-related,sistémico,que afecta o corpo de forma total;geral;generalizado,systemisk,med almen virkning på kroppen,systemisch,den Gesamtorganismus betreffend,sistémico,que afecta al cuerpo de una forma total,systémique,relatif à la circulation sanguine générale,sistemico,relativo ad un sistema,systemisch,over het hele lichaam verspreid
1679,systolic,part of blood pressure reading,sistólico,relacionado com a contracção músculo cardíaco,systolisk,om det maksimale tryk som blodet udøver under hjertets sammentrækningsfase,systolisch,während der Systole,sistólico,que se relaciona con la contracción del músculo cardíaco,systolique,relatif à la systole,sistolico,che indica la pressione arteriale massima del cuore,systolisch,met betrekking tot de samentrekking van de hartkamers
1680,tachyarrhythmia,irreegular heartbeat,taquiarritmia,cadência rápida do ritmo do coração;arritmia rápida,takyarytmi,hurtig uregelmæssig hjertevirksomhed,Tachyarrhythmie,schnelle Form der Störung rhythmischer Herztätigkeit,taquiarritmia,forma rápida e irregular del ritmo cardíaco,tachyarythmie,accélération du rythme cardiaque,tachiaritmia,aumento ed irregolarità delle pulsazioni cardiache,tachyaritmie,onregelmatige;snelle hartslag
1681,tachycardia,racing heart,taquicardia,aceleração da frequência cardíaca,takykardi,unaturlig hurtig hjertevirksomhed,Tachykardie,Herzjagen,taquicardia,aceleración de la frecuencia cardíaca,tachicardia,aumento di frequenza delle pulsazioni cardiache,tachycardie,snelle hartslag
1682,tachyphylaxis,rapid immunisation,taquifilaxia,efeito decrescente de um medicamento,tachyfylaksi,hurtig aftagning i styrke og varighed af et stofs virkning ved gentagen brug,Tachyplylaxie,zunehmende Verminderung einer Arzneimittelwirkung,taquifilaxia,efecto decreciente de un medicamento,tachyphylaxie,épuisement de l'effet thérapeutique,tachifilassi,protezione contro sieri;farmaci o agenti attivi,tachyfylaxie,snel opgebouwde weerstand tegen gifstoffen
1683,tardive,late,tardio,tardio,tardiv,langsom,tardiv,verspätet,tardío,tardío,tardif,tardif,tardivo,tardivo,tardief,wat laat tot uiting komt
1684,telangiectasia,broken veins,telangiectasia,dilatação de vasos terminais;sobretudo na cara,teleangiektasi,udvidning af de små kar,Teleangiektasie,erweiterung kleiner;oberfläclicher Hautgefäße,telangiectasia,dilatación de vasos terminales sobre todo en la cara,télangiectasie,dilatation d'un vaisseau cutané,telangectasia,dilatazione permanente dei vasi sanguigni preesistenti,teleangiëctasie,verwijding van de bloedvaten
1685,tendency,tendency,tendência,inclinação;propensão,tendens,tendens,Tendenz,Tendenz,tendencia,tendencia,tendance,tendance,tendenza,tendenza,tendens,neiging
1686,tendinitis,inflammed tendons,tendinite,inflamação de um tendão,tendinitis,betændelse i en sene,Tendinitis,Entzündung des Sehnengewebes,tendinitis,inflamación de un tendón,tendinite,inflammation d'un tendon,tendinite,tendinite,tendinitis,peesontsteking
1687,tenesmus,the runs,tenesmo,desejo doloroso e ineficaz de urinar ou defecar,tenesmus,smertefuld og hyppig trang til afføring eller vandladning,Tenesmus,anhaltender schmerzhaft spastischer Stuhl- bzw. Harn,tenesmo,deseo doloroso e ineficaz de orinar o defecar,ténesme,tension douloureuse associée à de faux besoins,tenesmo,spasmo con stimolo all'espulsione,tenesmus,pijnlijke aandrang
1688,tenosynovitis,inflammation of a tendon sheath,tenossinovite,inflamação de um tendão e da sua veia;tecite,tenosynovitis,senehindebetændelse,Tenosynovitis,Sehnenscheidenentzündung,tenosinovitis,inflamación de un tendón y de su vaina,ténosynovite,inflammation d'un tendon et de son enveloppe synoviale,tenosinovite,infiammazione della copertura di un tendine,tenosynovitis,ontsteking van de peesschede
1689,tensioactive,affecting surface tension,tensioactivo,que exerce efeito sobre a tensão superficial,tensioaktiv,med effekt på overfladetrykket,die Oberflächenspannung beeinflussend,,tensioactivo,que ejerce efecto sobre la tensión superficial,tensioactif,qui abaisse la tension superficielle du liquide,tensioattivo,che ha un effetto sulla tensione di superficie,tensio-actief,van invloed op de oppervlaktespanning
1690,tension,tension,tensão,pressão,tensio,spænding,Tension,Spannung,tensión,tono;potencial eléctrico;presión,tension,tension,tensione,tensione,tensie,druk
1691,teratogenic,producing fetal abnormality,teratogénico,indutor de malformações fetais,teratogen,frembringende misdannelser,teratogen,Mißbildungen erzeugend,teratogénico,que genera malformaciones,teratogène,qui provoque des monstruosités,teratogeno,che tende a produrre anomalie di formazione,teratogeen,wat misvormingen veroorzaakt
1692,teratological,early fetus development-related,teratológico,relativo à ciência que se ocupa do desenvolvimento anormal e das malformações congénitas,teratologisk,angående læren om misdannelser,teratologisch,die Lehre von den Mißbildungen betreffen,teratológico,perteneciente o relativo a la ciencia que se ocupa del desarrollo anormal y de las malformaciones congénitas,tératologique,relatif à l'étude des monstruosités et des anomalies congénitales,teratologico,relativo alla teratologia,teratologisch,met betrekking tot misvormingen
1693,terminal,terminal,terminal,final;último,terminal,terminal,terminal,terminal,terminal,final;último;postrero,terminal,terminal,terminale,terminale,terminaal,in het eindstadium
1694,test,test,prova,ensaio;experiência;análise,test,test,Test,Test,prueba,prueba,test,test,test,ID + CO,test,proef
1695,testicular,testicle-related,testicular,relativo aos testículos,testikulær,vedrørende testiklerne,testikulär,den Hoden betreffend,testicular,perteneciente o relativo a los testículos,testiculaire,qui concerne les testicules,testicolare,relativo al testicolo,testiculair,met betrekking tot de teelbal
1696,tetanus,tetanus,tétano,tétano,tetanus,stivkrampe,Tetanus,1.Wundstarrkrampf 2. Muskelkrampf,tétanos,tétanos,tétanos,maladie grave  du système nerveux central,tetano,tetano,tetanus,klem
1697,tetany,muscle spasm,tetania,estado caracterizado por cãibras e convulsões musculares,tetani,krampelidelse p.g.a. nedsat kalk i blodvæsken,Tetanie,Krampfkrankheit,tetania,estado caracterizado por calambres y convulsiones musculares,tétanie,spasmes et contractions musculaires,tetania,ipersensibilità di nervi e muscoli,tetanie,verhoogde spierprikkelbaarheid
1698,thalamus,part of the brain,tálamo,massa importante de núcleos cinzentos,thalamus,stor nerveknude i storhjernens basis,Thalamus,Sehhügel,tálamo,masa importante de núcleos grises,thalamus,structure de deux masses de tissu nerveux situés dans l'encéphale,talamo,formazione a forma di uovo degli emisferi del cervello,thalamus,grijze stof van de tussenhersenen
1699,theoretical,theoretical,teórico,teórico,teoretisk,teoretisk,theoretisch,theoretisch,teórico,teórico,théorique,théorique,teorico,teorico,theoretisch,wat niet in de werkelijkheid voorkomt
1700,therapeutic,therapeutic,terapêutico,que serve para curar,terapeutisk,helbredende,therapeutisch,therapeutisch,terapéutico,que sirve para la curación,thérapeutique,relatif au traitement des maladiespouvant guérir,terapeutico,terapeutico,therapeutisch,genezend
1701,therapy,therapy,terapia,tratamento das doenças;terapêutica,terapi,terapi,Therapie,Therapie,terapia,tratamiento,thérapie,traitement,terapia,terapia,therapie,behandeling
1702,thermal,thermal,termal,térmico;que faz referência ao calor ou à temperatura,termal,varme-,thermal,thermal,térmico,que hace referencia al calor o a la temperatura,termico,termico,thermisch,met betrekking tot warmte
1703,thermoregulation,heat regulation,termorregulação,regulação do calor ou da temperatura,termoregulation,varmeregulering,Thermoregulation,Wärmeregulation;ROCHE 1984,termorregulación,regulación del calor o de la temperatura,thermorégulation  (),mécanisme régulateur de la température du corps,termoregolazione,regolazione del calore,thermoregulatie,handhaving van warmte-evenwicht
1704,thoracic,chest-related,torácico,relativo ao tórax ou que o afecta,torakal,hørende til eller liggende i brystkassen,thorakal,den Brustraum betreffend,torácico,perteneciente o relativo al tórax o que lo afecta,thoracique,du thorax,toracico,toracico,thoracaal,met betrekking tot de borstkas
1705,thrombocytopaenia,low blood platelet count,trombocitopenia,diminuição do número de plaquetas no sangue,trombocytopeni,lavt blodpladeantal,Thrombozytopenie,Verminderung der Plättchenzahl,trombocitopenia,disminución del número de plaquetas en la sangre,thrombocytopénie,diminution du nombre de thrombocytes,trombocitopenia,riduzione del numero di piastrine nel sangue,trombocytopenie,verlaagd aantal bloedplaatjes
1706,thrombocytosis,increased platelets in the blood,trombocitose,aumento exagerado do número de plaquetas no sangue,trombocytose,forhøjet antal blodplader,Thrombozytose,Vermehrung der Blutplättchen,trombocitosis,aumento exagerado de las plaquetas en la sangre,thrombocytose,présence excessive de thrombocytes,trombocitosi,aumento del numero di piastrine nel sangue,trombocytose,verhoogd aantal bloedplaatjes
1707,thromboembolism,blood clotting,tromboembolismo,obstrução de um vaso sanguíneo com material trombótico,tromboembolisme,blodprop bestående af løsreven del af trombe;der med blodstrømmen føres til anden del af legemet og sætter sig fast,Thromboembolie,Verschluß eines Blutgefäßes durch einen Blutpfropf,tromboembolismo,obstrucción de un vaso sanguíneo con material trombótico,thrombo-embolie,occlusion d'un vaisseau sanguin,tromboembolismo,occlusione di un vaso sanguigno,trombo-embolie,bloedvatverstopping door bloedprop
1708,thrombolytic,dissolving blood clots,trombolítico,que dissolve ou desintegra um trombo,trombolytisktrombolyt,trombeopløsende,Thrombolytikum,Blutpfropfen lösendes Mittel,trombolítico,que disuelve o desintegra un trombo,thrombolytique,qui dissout un caillot de sang,trombolitico,trombo  che si dissolve,thrombolyticum,middel dat bloedproppen oplost
1709,thrombophlebitis,vein inflammation plus blood clotting,tromboflebite,inflamação de uma veia com obstrução por um coágulo sanguíneo,thrombophlebitis,betændelse i venevæg i forbindelse med trombedannelse,Thrombophlebitis,Entzündung der Venenwand;die mit einer Thrombose ein,tromboflebitis,inflamación de una vena con acompañada por formación de trombo,thrombophlébite,inflammation d'une veine,tromboflebite,occlusione di vena + infiammazione parete,tromboflebitis,ontsteking van de vaatwand met vorming van bloedproppen
1710,thrombosis,thrombosis,trombose,coagulação do sangue numa artéria ou veia;com bloqueio da circulação,trombose,trombedannelse,Thrombose,Blutpfropfbildung,trombosis,formación;desarrollo o presencia de un trombo,thrombose,thrombose,trombosi,formazione di un trombo,trombose,vorming van bloedprop in bloedvat of hart
1711,thrombus,blood clot,trombo,coágulo de sangue num vaso sanguíneo,trombe,trombe;blod;der er koaguleret på væggen i en blodåre;opstået på stedet,Thrombus,Blutpfropf,trombo,tapón de sangre en el sistema circulatorio,thrombus,caillot de sang,trombo,massa solida sanguigna,thrombus,bloedprop
1712,thyrostatic,antithyroid product,tirostático,substância que inibe a biossíntese eou a secreção de hormonas tiróides,antithyreoide stoffer,stoffer;der kan blokere dannelsen af thyroxin,Thyreostatikum,Substanzen;die die Biosynthese undoder die Sekretion,tirostático,sustancia que inhiben la biosíntesis yo la secreción de hormonas tiroideas,thyréostatique,apte à diminuer les sécrétions de la thyroïde,tireostatico,farmaco o agente anti-tiroide,thyrostaticum,stof die de schildklierwerking remt
1713,thyrotoxicosis,overactive thryoid,tirotoxicose,conjunto de sintomas devido a um excesso de hormonas tiróides,thyrotoksikose,tilstand;der opstår;når organismen påvirkes af abnormt store mængder thyroxin,Thyreotoxikose,Schilddrüsenfunktionsstörung,tirotoxicosis,conjunto de síntomas debido a un exceso de hormonas tiroideas,thyréotoxicose,toute forme d'hyperthyroïdie,tireotossicosi,eccessiva quantità di ormoni della tiroide,thyrotoxicose,overmatige produktie van schildklierhormoon
1714,tic,tic,tique,movimento involuntário que se produz repetidamente,tic,trækning;nervebetinget fænomen;hvor en ordnet handling udføres tvangsmæssigt,Tic,Tic,tic,movimiento involuntario que se produce repetidamente,tic,tic,tic,spasmo abituale,tic,zenuwtrekking
1715,tinea pedis,foot infection,tinea pedis,tinha do pé;pé-de-atleta. Infecção superficial crónica com fungos da pele do pé,tinea pedis,fodsvamp,Tinea pedis,Fußpilz,tiña podal,infección superficial crónica con hongos de la piel del pie,mycose du pied,teigne du pied,tinea pedis,lesioni pruriginose ai piedi,tinea pedis,schimmelziekte aan de voet
1716,tinnitus,ringing in the ears,tinitus,zumbido do ouvido,tinnitus,øresusen,Tinnitus,Ohrensausen,tinnitus,tintineo;zumbido de oído,acouphène,sensation auditive anormale,tinnitus,rumore negli orecchi,tinnitus,oorsuizen
1717,titre,concentration of a substance in solution,título,valor;grau;proporção,titer,indholdet af et virksomt stof i en opløsning,Titer,1.Gehalt an wirksamen Stoffen 2.größte Verdünnung,título,valor;grado;proporción,titre,degré,titolo,titolo,titer,hoogste verdunning van een stof die nog werkzaam blijft
1718,tolerance,tolerance,tolerância,capacidade de suportar doses elevadas de uma droga tóxica,tolerance,evne til at tåle lægemidler,Toleranz,Toleranz,tolerancia,capacidad de soportar dosis elevadas de una droga tóxica,tolérance,aptitude de l'organisme à supporter,tolleranza,tolleranza,tolerantie,verdraagzaamheid
1719,tomography,CT scanning,tomografia,radiografia de uma secção do corpo ou de um órgão,tomografi,snitafbilding i legemet på røntgenfilm,Tomographie,Schichtaufnahmeverfahren,tomografía,radiografía de una sección del cuerpo o de un órgano,tomographie,procédé d'exploration radiologique,tomografia,registrazione delle immagini interne al corpo,tomografie,röntgenfoto waarbij slechts één vlak scherp wordt afgebeeld
1720,tone,tone,tono,tensão,tone,vævenes;især musklernes;normale spændingstilstand,Tonus,Spannung,tono,tensión,tono,tono,tonus,spierspanning
